topic_title	screen_name	epoch	text	link
MB218	AP	2013-03-03 05:00:00+00:00	Most of Fla. house over sinkhole demolished	http://bigstory.ap.org/article/rescuers-end-effort-find-body-fla-sinkhole
MB218	AP	2013-03-01 05:00:00+00:00	Sinkhole that swallowed Fla. man 'unstable'	http://bigstory.ap.org/article/tampa-area-man-swallowed-sinkhole
MB218	USATODAY	2013-03-04 22:47:41+00:00	Another suspected sinkhole opens up in a Fla. neighborhood	http://www.usatoday.com/story/news/nation/2013/03/04/sinkhole-seffner-florida/1963175/
MB221	BBC	2013-03-04 09:44:53+00:00	US HIV baby 'cured' by early drug treatment	http://www.bbc.co.uk/news/world-us-canada-21651225
MB221	USATODAY	2013-03-03 21:31:37+00:00	Doctors report first cure of HIV in a child	http://www.usatoday.com/story/news/nation/2013/03/03/first-cure-hiv-child/1957943/
MB221	REUTERS	2013-03-04 19:13:55+00:00	U.S. baby's cure from HIV raises hope, new questions	http://www.reuters.com/article/2013/03/04/us-hiv-cure-reaction-idUSBRE9230YK20130304
MB221	REUTERS	2013-03-04 01:49:31+00:00	U.S. baby's HIV infection cured through very early treatment	http://www.reuters.com/article/2013/03/04/us-hiv-infant-cure-idUSBRE9220GB20130304
MB221	USATODAY	2013-03-06 15:50:46+00:00	World awaits impact of baby cured of HIV	http://www.usatoday.com/story/news/nation/2013/03/06/hiv-baby-impact/1966969/
MB221	USATODAY	2013-03-04 23:28:18+00:00	Child's HIV cure won't mean new treatments immediately	http://www.usatoday.com/story/news/nation/2013/03/04/hiv-cure-treatments/1962933/
MB221	AP	2013-03-04 05:00:00+00:00	Scientists say baby born with HIV apparently cured	http://bigstory.ap.org/article/scientists-say-baby-born-hiv-apparently-cured-0
MB221	BBC	2013-03-04 12:35:59+00:00	Analysis: A cure for HIV?	http://www.bbc.co.uk/news/health-21653463
MB221	REUTERS	2013-03-03 21:30:45+00:00	U.S. baby's HIV infection cured through very early treatment	http://www.reuters.com/article/2013/03/03/us-hiv-infant-cure-idUSBRE9220GB20130303
MB221	BBC	2013-03-04 18:56:42+00:00	Baby with HIV 'cured' with early treatment in US	http://www.bbc.co.uk/news/health-21661274
MB222	USATODAY	2013-03-06 22:28:09+00:00	'Oz the Great and Powerful' is good, escapist fun	http://www.usatoday.com/story/life/movies/2013/03/06/oz-the-great-and-powerful-review/1921613/
MB222	REUTERS	2013-03-07 19:53:42+00:00	James Franco lightens up for role in Oz the Great and Powerful	http://www.reuters.com/article/2013/03/07/entertainment-us-jamesfranco-idUSBRE92615U20130307
MB222	USATODAY	2013-03-08 00:50:48+00:00	'Action!' on the set of 'Oz the Great and Powerful'	http://www.usatoday.com/story/life/movies/2013/03/07/oz-the-great-and-powerful/1966225/
PARSE_ERROR	BBC	BBC Radio 4 - Front Row, Oz the Great and Powerful; Julia O ...	http://www.bbc.co.uk/programmes/b01r0dzy
MB222	USATODAY	2013-03-07 01:35:00+00:00	Oz the Great and Powerful	http://www.usatoday.com/LIFE/usaedition/2013-03-07-Cast-box-for-Oz_ST_U.htm
MB222	USATODAY	2013-03-06 17:45:49+00:00	'Oz the Great and Powerful' Clip: Bananas	http://www.usatoday.com/videos/life/movies/2013/03/06/1967955/
MB222	PARSE_ERROR	USATODAY	Illustrations from the book 'The Art of Oz The Great and Powerful'	http://www.usatoday.com/picture-gallery/life/2013/03/07/illustrations-from-the-book-the-art-of-oz-the-great-and-powerful/1969407/
MB222	USATODAY	2013-03-06 17:31:06+00:00	Trailer: 'Oz the Great and Powerful'	http://www.usatoday.com/videos/life/movies/2013/03/06/1967851/
MB222	REUTERS	2013-02-14 00:00:00+00:00	Hollywood under the spell of Oz The Great and Powerful	http://uk.reuters.com/video/2013/02/14/hollywood-under-the-spell-of-oz-the-grea?videoId=241120208
